ID_encuestado,Edad,Lugar_Residencia,Ocupacion,Vehiculo_Propio,Transporte_Publico,Cambio_Climatico,Contaminacion_Vehicular,Medidas_Correctivas,Opinion_Vehiculo_Electrico,Preferencia_Vehiculo_Electrico,Limitaciones_Vehiculo_Electrico
A01,22,Este del Pais,Estudiante,"Si, vehiculo de LPG",Nunca,2,4,"Modernización y expansión del transporte público. (Bus, Metro, Infraestructura para bicicletas), Popularizacion de servicios para compartir taxis.",Siento que RD no cuenta con la infraestructura necesaria ,Si,Infraestructura de cargadores para vehículos eléctricos y accesibilidad al mantenimiento y reparación.
A02,21,Este del Pais,Estudiante,"Si, Motocicleta/ Motor/ Pasola (Gasolina)",Algunas veces al mes,3,5,"Modernización y expansión del transporte público. (Bus, Metro, Infraestructura para bicicletas), Legislación para limitar el volumen del sonido de los vehiculos en transito","si, sería lo mejor para el medio ambiente y combatir el ruido ambiental ",Si,Infraestructura de cargadores para vehículos eléctricos y accesibilidad al mantenimiento y reparación.
A03,26,Cibao/ Norte del Pais,Sector Ingeniería y Tecnico,"Si, vehiculo de gasolina",Algunas veces al mes,5,4,"Modernización y expansión del transporte público. (Bus, Metro, Infraestructura para bicicletas)",Si,Si,No conozco lo suficiente de vehículos eléctricos
A04,29,Cibao/ Norte del Pais,Sector Servicio / Culinario / Hotelero,"Si, vehiculo de gasolina",Nunca,5,5,Legislación para limitar el tránsito de automóviles que emiten mucha contaminación,si,Si,No conozco lo suficiente de vehículos eléctricos
A05,25,Cibao/ Norte del Pais,Sector Salud,"Si, vehiculo de gasolina",Algunas veces al mes,5,4,"Modernización y expansión del transporte público. (Bus, Metro, Infraestructura para bicicletas), Legislación para limitar el tránsito de automóviles que emiten mucha contaminación, Legislación para limitar el volumen del sonido de los vehiculos en transito",Si,Si,No conozco lo suficiente de vehículos eléctricos
A06,30,Cibao/ Norte del Pais,Sector Ingeniería y Tecnico,"Si, Motocicleta/ Motor/ Pasola (Gasolina)",Algunas veces al mes,5,3,Estoy satisfecho con el sistema actual.,,Si,Infraestructura de cargadores para vehículos eléctricos y accesibilidad al mantenimiento y reparación.
A07,33,Santo Domingo,Sector Educación,No,Diario,4,5,"Modernización y expansión del transporte público. (Bus, Metro, Infraestructura para bicicletas), Legislación para limitar el tránsito de automóviles que emiten mucha contaminación, Legislación para limitar el volumen del sonido de los vehiculos en transito, Popularizacion de servicios para compartir taxis.",Pienso que este tipo de vehiculos es muy caro. Lo consideraria pero a largo plazo por el costo. ,Si,Infraestructura de cargadores para vehículos eléctricos y accesibilidad al mantenimiento y reparación.
A08,22,Cibao/ Norte del Pais,Estudiante,"Sí, vehiculo electrico",Diario,0,0,Legislación para limitar el tránsito de automóviles que emiten mucha contaminación.,"Muy bien, no contaminan el medio ambiente ",Si,No conozco lo suficiente de vehículos eléctricos
A09,40,Cibao/ Norte del Pais,Sector Ingeniería y Técnico,"Sí, vehiculo de gasolina",Diario,4,2,"Modernización y expansión del transporte público. (bus, metro, infraestructura para bicicletas), Legislación para limitar el volumen del sonido de los vehículos en tránsito.",Son una opcion para reducir las emisiones,Si,Infraestructura de cargadores para vehículos eléctricos y accesibilidad al mantenimiento y reparación.
A10,60,Santo Domingo,Sector Ingeniería y Técnico,"Sí, vehiculo de gasolina",Nunca,3,4,"Modernización y expansión del transporte público. (bus, metro, infraestructura para bicicletas), Legislación para limitar el tránsito de automóviles que emiten mucha contaminación., Legislación para limitar el volumen del sonido de los vehículos en tránsito.",No hay muchos porque son caros,Si,Infraestructura de cargadores para vehículos eléctricos y accesibilidad al mantenimiento y reparación.
A11,39,Cibao/ Norte del Pais,Sector Servicio / Culinario / Hotelero,No,Nunca,0,5,"Modernización y expansión del transporte público. (bus, metro, infraestructura para bicicletas), Legislación para limitar el volumen del sonido de los vehículos en tránsito.",Son un fraude,No,Infraestructura de cargadores para vehículos eléctricos y accesibilidad al mantenimiento y reparación.
A12,34,Santo Domingo,Otro / Entre Empleos,No,Casi todos los días,5,3,"Modernización y expansión del transporte público. (bus, metro, infraestructura para bicicletas), Legislación para limitar el tránsito de automóviles que emiten mucha contaminación., Legislación para limitar el volumen del sonido de los vehículos en tránsito., Popularizacion de servicios para compartir taxis.","Podrían aportar a la sostenibilidad del transporte pero dudo que contemos con la infraestructura adecuada para cargarlos, al igual que el mantenimiento de los mismos.",Si,Infraestructura de cargadores para vehículos eléctricos y accesibilidad al mantenimiento y reparación.
A13,29,Sur del Pais,Otro / Entre Empleos,No,Diario,5,3,"Modernización y expansión del transporte público. (bus, metro, infraestructura para bicicletas), Legislación para limitar el tránsito de automóviles que emiten mucha contaminación., Legislación para limitar el volumen del sonido de los vehículos en tránsito.","En comparación con los vehiculos de gas contanminan mucho menos, seria una mejor opción en cuanto al mejoramiento del medio ambiente ",Si,Infraestructura de cargadores para vehículos eléctricos y accesibilidad al mantenimiento y reparación.
A14,21,Santo Domingo,Sector Servicio / Culinario / Hotelero,"Sí, vehiculo de GLP",Diario,5,5,"Modernización y expansión del transporte público. (bus, metro, infraestructura para bicicletas), Legislación para limitar el tránsito de automóviles que emiten mucha contaminación., Legislación para limitar el volumen del sonido de los vehículos en tránsito., Popularizacion de servicios para compartir taxis.",Muy buenos ,Si,Infraestructura de cargadores para vehículos eléctricos y accesibilidad al mantenimiento y reparación.
A15,51,Santo Domingo,Sector Educación,No,Diario,5,5,"Modernización y expansión del transporte público. (bus, metro, infraestructura para bicicletas), Legislación para limitar el tránsito de automóviles que emiten mucha contaminación., Legislación para limitar el volumen del sonido de los vehículos en tránsito.",Contaminan menos,Si,Ningunas de las anteriores son un problema. Me gustaría usar un vehículo eléctrico como vehículo diario.
A16,24,Santo Domingo,Estudiante,"Sí, vehiculo de gasolina",Algunas veces al mes,5,3,"Modernización y expansión del transporte público. (bus, metro, infraestructura para bicicletas), Legislación para limitar el tránsito de automóviles que emiten mucha contaminación., Legislación para limitar el volumen del sonido de los vehículos en tránsito.",Muy buena propuesta,Si,Infraestructura de cargadores para vehículos eléctricos y accesibilidad al mantenimiento y reparación.
A17,22,Santo Domingo,Sector Servicio / Culinario / Hotelero,No,Diario,3,3,"Modernización y expansión del transporte público. (bus, metro, infraestructura para bicicletas)",Deberían de estar más estandarizados,No importa,Infraestructura de cargadores para vehículos eléctricos y accesibilidad al mantenimiento y reparación.
A18,20,Santo Domingo,Otro / Entre Empleos,No,Diario,4,4,"Modernización y expansión del transporte público. (bus, metro, infraestructura para bicicletas)","Me encantan pero tan caros, ademas ayudan al medio ambiente ",Si,Infraestructura de cargadores para vehículos eléctricos y accesibilidad al mantenimiento y reparación.
A19,30,Santo Domingo,Sector Educación,No,Casi todos los días,4,5,Legislación para limitar el tránsito de automóviles que emiten mucha contaminación.,Inaccesibles ,Si,No conozco lo suficiente de vehículos eléctricos
A20,43,Santo Domingo,Sector Salud,"Sí, vehiculo de gasolina",Algunas veces al mes,5,1,"Modernización y expansión del transporte público. (bus, metro, infraestructura para bicicletas), Legislación para limitar el tránsito de automóviles que emiten mucha contaminación.",Debemos promocionar más y capacitar personal que se soporte a los vehículos eléctricos. ,Si,Infraestructura de cargadores para vehículos eléctricos y accesibilidad al mantenimiento y reparación.
A21,22,Santo Domingo,Finanzas y Banca,"Sí, vehiculo de gasolina",Nunca,5,5,"Modernización y expansión del transporte público. (bus, metro, infraestructura para bicicletas)",Es una excelente opción para controlar la contaminación ambiental ,Si,Infraestructura de cargadores para vehículos eléctricos y accesibilidad al mantenimiento y reparación.
A22,21,Cibao/ Norte del Pais,Estudiante,"Sí, vehiculo de gasolina",Algunas veces al mes,2,2,Popularizacion de servicios para compartir taxis.,Prácticos.,Si,No conozco lo suficiente de vehículos eléctricos
A23,28,Cibao/ Norte del Pais,Sector Ingeniería y Técnico,"Sí, vehiculo de gasolina",Diario,5,5,"Modernización y expansión del transporte público. (bus, metro, infraestructura para bicicletas), Legislación para limitar el tránsito de automóviles que emiten mucha contaminación., Legislación para limitar el volumen del sonido de los vehículos en tránsito.",Muy buena opción para disminuir el excesivo uso de gasolina o glp en el país ,Si,Infraestructura de cargadores para vehículos eléctricos y accesibilidad al mantenimiento y reparación.
A24,26,Cibao/ Norte del Pais,Otro / Entre Empleos,"Si, Motocicleta/ Motor/ Pasola (Gasolina)",Nunca,3,4,Estoy satisfecho con el sistema actual.,Buena opción ,No importa,Infraestructura de cargadores para vehículos eléctricos y accesibilidad al mantenimiento y reparación.
A25,37,Cibao/ Norte del Pais,Sector Ingeniería y Técnico,"Si, Motocicleta/ Motor/ Pasola (Gasolina)",Algunas veces al mes,3,0,"Modernización y expansión del transporte público. (bus, metro, infraestructura para bicicletas), Legislación para limitar el tránsito de automóviles que emiten mucha contaminación.",Son necesarios,No,Infraestructura de cargadores para vehículos eléctricos y accesibilidad al mantenimiento y reparación.
A26,26,Cibao/ Norte del Pais,Sector Ingeniería y Técnico,"Sí, vehiculo de gasolina",Diario,5,5,"Modernización y expansión del transporte público. (bus, metro, infraestructura para bicicletas), Legislación para limitar el tránsito de automóviles que emiten mucha contaminación., Legislación para limitar el volumen del sonido de los vehículos en tránsito.","Muy buena opción, pero muy caros y con pocas estaciones todavía, son el futuro, pero no el presente.",Si,Infraestructura de cargadores para vehículos eléctricos y accesibilidad al mantenimiento y reparación.
A27,24,Cibao/ Norte del Pais,Sector Educación,"Si, Motocicleta/ Motor/ Pasola (Gasolina)",Nunca,2,3,"Modernización y expansión del transporte público. (bus, metro, infraestructura para bicicletas)",Buen aporte ,Si,Infraestructura de cargadores para vehículos eléctricos y accesibilidad al mantenimiento y reparación.
A28,25,Cibao/ Norte del Pais,Estudiante,"Si, Motocicleta/ Motor/ Pasola (Gasolina)",Diario,2,2,Legislación para limitar el tránsito de automóviles que emiten mucha contaminación.,Sería una mejora para el medio ambiente ,Si,Infraestructura de cargadores para vehículos eléctricos y accesibilidad al mantenimiento y reparación.
A29,29,Cibao/ Norte del Pais,Finanzas y Banca,No,Nunca,2,1,"Modernización y expansión del transporte público. (bus, metro, infraestructura para bicicletas)",Son muy costoso para la economía del país.,Si,Infraestructura de cargadores para vehículos eléctricos y accesibilidad al mantenimiento y reparación.
A30,26,Cibao/ Norte del Pais,Sector Salud,"Sí, vehiculo de gasolina",Algunas veces al mes,3,4,"Modernización y expansión del transporte público. (bus, metro, infraestructura para bicicletas), Legislación para limitar el tránsito de automóviles que emiten mucha contaminación.",Excelente,Si,Infraestructura de cargadores para vehículos eléctricos y accesibilidad al mantenimiento y reparación.
A31,28,Cibao/ Norte del Pais,Otro / Entre Empleos,"Si, Motocicleta/ Motor/ Pasola (Gasolina)",Diario,3,3,"Modernización y expansión del transporte público. (bus, metro, infraestructura para bicicletas), Legislación para limitar el tránsito de automóviles que emiten mucha contaminación.","No hay suficiente estaciones de carga, duran mucho para cargar, son muy costosos y muchos te dan poco rendimiento por carga",Si,Infraestructura de cargadores para vehículos eléctricos y accesibilidad al mantenimiento y reparación.
A32,34,Santo Domingo,Sector Ingeniería y Técnico,"Sí, vehiculo de gasolina",Algunas veces al mes,5,3,"Modernización y expansión del transporte público. (bus, metro, infraestructura para bicicletas)",El país no está preparado,No,Infraestructura de cargadores para vehículos eléctricos y accesibilidad al mantenimiento y reparación.
A33,29,Cibao/ Norte del Pais,Estudiante,No,Algunas veces al mes,5,5,Legislación para limitar el tránsito de automóviles que emiten mucha contaminación.,Buena idea ,Si,No conozco lo suficiente de vehículos eléctricos
A34,23,Cibao/ Norte del Pais,Finanzas y Banca,"Si, Motocicleta/ Motor/ Pasola (Gasolina)",Algunas veces al mes,3,2,"Modernización y expansión del transporte público. (bus, metro, infraestructura para bicicletas)",Es la mejor opción ,Si,Ningunas de las anteriores son un problema. Me gustaría usar un vehículo eléctrico como vehículo diario.
A35,20,Este del Pais,Estudiante,"Sí, vehiculo de gasolina",Algunas veces a la semana,1,5,"Modernización y expansión del transporte público. (bus, metro, infraestructura para bicicletas)",Sería un buen avance con la modernización ,No,Infraestructura de cargadores para vehículos eléctricos y accesibilidad al mantenimiento y reparación.
A36,23,Cibao/ Norte del Pais,Sector Ingeniería y Técnico,"Si, Motocicleta/ Motor/ Pasola (Gasolina)",Nunca,2,3,"Modernización y expansión del transporte público. (bus, metro, infraestructura para bicicletas)",Es un gran avance ,No,Infraestructura de cargadores para vehículos eléctricos y accesibilidad al mantenimiento y reparación.
A37,26,Cibao/ Norte del Pais,Finanzas y Banca,"Si, Motocicleta/ Motor/ Pasola (Gasolina)",Diario,3,4,"Modernización y expansión del transporte público. (bus, metro, infraestructura para bicicletas)",Es un excelente proyecto y ayuda mucho al medio ambiente . Que ,Si,Infraestructura de cargadores para vehículos eléctricos y accesibilidad al mantenimiento y reparación.
A38,21,Cibao/ Norte del Pais,Estudiante,"Sí, vehiculo de gasolina",Nunca,4,3,"Modernización y expansión del transporte público. (bus, metro, infraestructura para bicicletas)",Excelente para el cuidado del medio ambiente pero no son mi preferencia ,No,No conozco lo suficiente de vehículos eléctricos
A39,22,Cibao/ Norte del Pais,Estudiante,No,Diario,3,5,"Modernización y expansión del transporte público. (bus, metro, infraestructura para bicicletas)",Los vehículos eléctricos son una excelente opción para reducir la dependencia de los combustibles fósiles y disminuir la contaminación ambiental.,Si,No conozco lo suficiente de vehículos eléctricos
A40,50,Cibao/ Norte del Pais,Sector Servicio / Culinario / Hotelero,"Sí, vehiculo de gasolina",Algunas veces al mes,5,3,Legislación para limitar el tránsito de automóviles que emiten mucha contaminación.,"Que es muy favorable para nuestro país, ya que en lo económico tendríamos menos gastos en combustible y en cuanto al medio ambiente: se disminuye la contaminscion",Si,Ningunas de las anteriores son un problema. Me gustaría usar un vehículo eléctrico como vehículo diario.
A41,18,Santo Domingo,Estudiante,"Sí, vehiculo de gasolina",Algunas veces a la semana,5,2,"Modernización y expansión del transporte público. (bus, metro, infraestructura para bicicletas)",Son buenos ,Si,No conozco lo suficiente de vehículos eléctricos
A42,18,Cibao/ Norte del Pais,Estudiante,"Si, Motocicleta/ Motor/ Pasola (Gasolina)",Algunas veces a la semana,1,0,Estoy satisfecho con el sistema actual.,Muy bueno.,Si,Ningunas de las anteriores son un problema. Me gustaría usar un vehículo eléctrico como vehículo diario.
A43,31,Cibao/ Norte del Pais,Sector Servicio / Culinario / Hotelero,"Si, Motocicleta/ Motor/ Pasola (Gasolina)",Casi todos los días,3,1,Legislación para limitar el tránsito de automóviles que emiten mucha contaminación.,Más saludable ,Si,No conozco lo suficiente de vehículos eléctricos
A44,26,Cibao/ Norte del Pais,Finanzas y Banca,"Si, Motocicleta/ Motor/ Pasola (Gasolina)",Algunas veces al mes,3,3,"Modernización y expansión del transporte público. (bus, metro, infraestructura para bicicletas)",,No,No conozco lo suficiente de vehículos eléctricos
A45,20,Cibao/ Norte del Pais,Estudiante,No,Casi todos los días,3,5,"Modernización y expansión del transporte público. (bus, metro, infraestructura para bicicletas)",No hay suficientes ,Si,No conozco lo suficiente de vehículos eléctricos
A46,27,Cibao/ Norte del Pais,Sector Ingeniería y Técnico,"Si, Motocicleta/ Motor/ Pasola (Gasolina)",Algunas veces al mes,3,4,"Modernización y expansión del transporte público. (bus, metro, infraestructura para bicicletas), Legislación para limitar el tránsito de automóviles que emiten mucha contaminación.",Son una necesidad ,Si,Infraestructura de cargadores para vehículos eléctricos y accesibilidad al mantenimiento y reparación.
A47,20,Cibao/ Norte del Pais,Estudiante,"Si, Motocicleta/ Motor/ Pasola (Gasolina)",Diario,0,5,Legislación para limitar el tránsito de automóviles que emiten mucha contaminación.,Son las mejores opciones ,Si,No conozco lo suficiente de vehículos eléctricos
A48,32,Santo Domingo,Otro / Entre Empleos,"Sí, vehiculo de GLP",Diario,5,5,Legislación para limitar el volumen del sonido de los vehículos en tránsito.,Muy caros,Si,Ningunas de las anteriores son un problema. Me gustaría usar un vehículo eléctrico como vehículo diario.
A49,24,Este del Pais,Sector Servicio / Culinario / Hotelero,"Sí, vehiculo de gasolina",Nunca,3,1,"Modernización y expansión del transporte público. (bus, metro, infraestructura para bicicletas), Legislación para limitar el volumen del sonido de los vehículos en tránsito.","Aun hay pocos, y poca variedad de marcas asiaticas.",No,Infraestructura de cargadores para vehículos eléctricos y accesibilidad al mantenimiento y reparación.
A50,34,Cibao/ Norte del Pais,Sector Educación,"Si, Motocicleta/ Motor/ Pasola (Gasolina)",Algunas veces al mes,5,5,"Modernización y expansión del transporte público. (bus, metro, infraestructura para bicicletas), Legislación para limitar el tránsito de automóviles que emiten mucha contaminación., Legislación para limitar el volumen del sonido de los vehículos en tránsito.",Es un medio sostenible que reduce los efectos contaminantes.,Si,Infraestructura de cargadores para vehículos eléctricos y accesibilidad al mantenimiento y reparación.
A51,38,Cibao/ Norte del Pais,Sector Educación,"Sí, vehiculo de gasolina",Algunas veces al mes,4,4,"Modernización y expansión del transporte público. (bus, metro, infraestructura para bicicletas), Legislación para limitar el tránsito de automóviles que emiten mucha contaminación., Legislación para limitar el volumen del sonido de los vehículos en tránsito.","Teniendo en cuenta la alta facturación de la energía eléctrica que se ha vuelto insostenible para los hogares dominicanos, si le agregamos un vehículo eléctrico sería insostenible",No,No conozco lo suficiente de vehículos eléctricos
A52,26,Santo Domingo,Finanzas y Banca,"Sí, vehiculo de gasolina",Nunca,3,4,"Modernización y expansión del transporte público. (bus, metro, infraestructura para bicicletas)",Excelente opción,Si,No conozco lo suficiente de vehículos eléctricos
